nohup: ignoring input
/home/alanwalker/Project/Data/WebServer1.py:55: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  timestamp = datetime.datetime.utcnow().isoformat()
Starting metrics logger for Web1 with full AI headers...
[2025-10-22T06:30:49.280481] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:30:54.347198] CPU=0.207, MEM=4935680.000, LATENCY=0.002, OVERALL=1606.736
[2025-10-22T06:30:59.400261] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:31:04.434897] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:31:09.480042] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:31:14.503166] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:31:19.532366] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:31:24.560363] CPU=0.207, MEM=4935680.000, LATENCY=0.004, OVERALL=1606.736
[2025-10-22T06:31:29.616589] CPU=0.207, MEM=4935680.000, LATENCY=0.002, OVERALL=1606.736
[2025-10-22T06:31:34.648640] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:31:39.674414] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:31:44.703816] CPU=0.207, MEM=4935680.000, LATENCY=0.002, OVERALL=1606.736
[2025-10-22T06:31:49.761170] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:31:54.789491] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:31:59.825785] CPU=0.207, MEM=4935680.000, LATENCY=0.000, OVERALL=1606.736
[2025-10-22T06:32:04.851611] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:32:09.915462] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:32:14.934228] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:32:20.002351] CPU=0.207, MEM=4935680.000, LATENCY=0.000, OVERALL=1606.736
[2025-10-22T06:32:25.025318] CPU=0.207, MEM=4935680.000, LATENCY=0.000, OVERALL=1606.736
[2025-10-22T06:32:30.042963] CPU=0.207, MEM=4935680.000, LATENCY=0.002, OVERALL=1606.736
[2025-10-22T06:32:35.174402] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:32:40.207916] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:32:45.229530] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:32:50.321255] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:32:55.356214] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:33:00.384751] CPU=0.207, MEM=4935680.000, LATENCY=0.002, OVERALL=1606.736
[2025-10-22T06:33:05.428987] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:33:10.454642] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
[2025-10-22T06:33:15.477394] CPU=0.207, MEM=4935680.000, LATENCY=0.001, OVERALL=1606.736
